player_name,team_name,hero_name,usage_count
A1WAYS,SV,Wuyang,9
guxue,Weibo Gaming,Zarya,9
shy,Weibo Gaming,Sojourn,9
Seicoe,Virtus.pro,Symmetra,9
WMaimone,Anyone's Legend,Vendetta,9
Lethal,Spacestation Gaming,Widowmaker,9
zzz,LuneX Gaming,Juno,9
Ryan,Extinction,Symmetra,9
scuffed,Extinction,Juno,9
Sugarfree,Spacestation Gaming,Vendetta,9
Tom4to,Rankers,Kiriko,9
Sunset,MieMieYang,Emre,9
sgy,The Gatos Guapos,Tracer,9
Tred,Disguised,Zarya,8
Kronik,Dallas Fuel,Widowmaker,8
Lukemino,Dallas Fuel,Jetpack Cat,8
Proud,T1,Symmetra,8
Bliss,T1,Wuyang,8
Zorrow,Team Peps,Tracer,8
Shy,Weibo Gaming,Emre,8
Infekted,Team Liquid,D.Va,8
NEIVIS,Please Not Hero Ban,Kiriko,8
ans,TOKYO TAIYOs,Widowmaker,8
Yot1y,Lazuli,Tracer,8
Yot1y,Lazuli,Symmetra,8
HRY,99DIVINE,Vendetta,8
Daisy,Nyam Gaming,Sojourn,8
Gaisen,ENTER FORCE.36,Ana,8
Vosa1q,Telomere,D.Va,8
Vosa1q,Telomere,Ramattra,8
mint,Nyam Gaming,Brigitte,8
harutoon,99DIVINE,Tracer,8
SeungAn,Cheeseburger,D.Va,8
M1NUT2,Poker Face,Symmetra,8
M1NUT2,Poker Face,Sojourn,8
CARU,Poker Face,Juno,8
D0D0,New Era,Genji,8
Jasm1ne,T1,D.Va,8
ZeSin,Cheeseburger,Sojourn,8
STALK3R,Crazy Raccoon,Tracer,8
M1NUT2,Poker Face,Widowmaker,8
knife,ZETA DIVISION,Cassidy,8
D4RT,Poker Face,Symmetra,8
Mealgaru,ZETA DIVISION,Wrecking Ball,8
Eileen,Milk Tea,Symmetra,8
feiyang,Milk Tea,D.Va,8
Lilko,Homie E,Tracer,8
